id,Drug name,ic50,Drug Bank,ND Related Drug
P12821,DB01197,0.12,exist,No
P00533,DB00530,0.7,exist,No
P00533,DB00530,0.03,exist,No
P00533,DB00530,0.4,exist,No
P00533,DB00530,0.2,exist,No
P00533,DB00530,0.6,exist,No
P31213,DB01216,0.18,exist,No
Q16850,DB00196,0.039,not exist,No
Q16850,DB00196,0.042,not exist,No
P04150,DB00588,0.075,exist,No
P04150,DB00588,0.04,exist,No
P04150,DB00588,0.044,exist,No
P04150,DB00588,0.9,exist,No
P04150,DB00588,0.5,exist,No
P00533,DB00317,0.1,exist,No
P00533,DB00317,0.509,exist,No
P00533,DB00317,0.508,exist,No
P00533,DB00317,0.585,exist,No
P00533,DB00317,0.15,exist,No
P00533,DB00317,0.45,exist,No
P14416,DB00502,0.16,exist,No
P14416,DB00502,0.7,exist,No
P14416,DB00988,8.00E-06,exist,Yes
P10827,DB00279,0.24,exist,No
P10828,DB00279,0.26,exist,No
P10828,DB00279,0.257,exist,No
P12821,DB00722,0.1,exist,No
P41144,DB00704,0.53,not exist,No
P41144,DB00704,0.5,not exist,No
P04150,DB00834,0.298,exist,Yes
P04150,DB00834,0.8,exist,Yes
P04150,DB00834,0.008,exist,Yes
P04150,DB00834,0.6,exist,Yes
P04150,DB00834,0.95,exist,Yes
P10253,DB00419,0.1,not exist,No
Q9Y271,DB00471,0.78,exist,No
Q9Y271,DB00471,0.5,exist,No
Q2NNR5,DB00471,0.5,not exist,No
Q16832,DB04868,0.5,exist,No
P14416,DB00368,8.00E-05,not exist,Yes
P16233,DB01083,0.04,exist,No
P31652,DB00715,0.28,not exist,No
P14416,DB00850,0.3,exist,No
P35367,DB06691,0.82,exist,No
P14416,DB00734,0.1,exist,Yes
P14842,DB06144,0.39,not exist,No
P62942,DB00877,0.6,not exist,No
P62942,DB00877,0.45,not exist,No
P42345,DB00877,0.1,exist,No
P42345,DB00877,0.45,exist,No
P35968,DB00398,0.85,exist,No
P35968,DB00398,0.48,exist,No
P35968,DB00398,0.16,exist,No
P54760,DB00398,0.2,exist,No
P35968,DB00398,0.45,exist,No
Q02763,DB00398,0.83,exist,No
Q12809,DB00637,0.9,exist,No
