UniProt1,UniProt2
A4D2B8,A4D2B8
A6NDG6,A6NDG6
A0A087WXM9,B0YJ81
D6RGH6,D6RGH6
F7VJQ1,F7VJQ1
O00141,O00141
O00148,O00148
O00154,O00154
O00161,O00161
A8MW92,O00161
F7VJQ1,O00165
O00182,O00182
O00161,O00182
O00161,O00186
O00182,O00186
F7VJQ1,O00194
O00194,O00194
O00206,O00206
O00194,O00212
O00213,O00213
F7VJQ1,O00213
A8MW92,O00213
O00219,O00219
O00241,O00241
O00244,O00244
O00254,O00254
O00165,O00303
O00303,O00303
A8K0Z3,O00303
O00141,O00303
O00311,O00311
O00233,O00327
O00327,O00327
O00170,O00327
O00329,O00329
O00206,O00329
O00391,O00391
O00165,O00400
O00408,O00408
O00170,O00408
O00422,O00422
O00444,O00444
O00311,O00444
O00458,O00458
O00329,O00459
O00206,O00459
O00213,O00459
O00459,O00459
O00186,O00479
O00483,O00483
O00499,O00499
A8MW92,O00499
O00213,O00499
O00501,O00501
O00548,O00548
O00458,O00548
O00560,O00560
A8K0Z3,O00560
O00182,O00560
O00182,O00567
O00567,O00567
O00422,O00571
O00459,O00571
O00303,O00571
O00213,O00571
O00585,O00585
O00585,O00590
O00148,O00590
O00182,O00592
O00141,O00592
O00182,O00754
O00762,O00762
O00148,O00762
O00444,O00762
O00311,O00762
O14492,O14492
O00459,O14492
O00522,O14492
O14503,O14503
O00327,O14503
O00141,O14503
O00148,O14508
O00459,O14508
O14492,O14508
O14508,O14508
O00459,O14512
O14492,O14512
O00213,O14512
O14508,O14512
A8MW92,O14512
O14508,O14543
O00459,O14543
O14492,O14543
O14512,O14543
O00444,O14543
O00459,O14544
O00311,O14544
O00165,O14544
O00483,O14544
O14508,O14544
O14543,O14544
O14492,O14544
O14512,O14544
O00483,O14548
O14556,O14556
O00483,O14561
O14561,O14561
O00165,O14561
O14579,O14579
O00461,O14579
O00165,O14595
O14618,O14618
O00244,O14618
O00585,O14625
O00590,O14625
O00206,O14625
O14640,O14640
O00499,O14640
O00194,O14640
O00213,O14640
O14512,O14640
O00233,O14640
O00762,O14640
O14649,O14649
O14656,O14656
O00161,O14662
O00461,O14662
O00548,O14672
O00574,O14672
O14684,O14684
O14727,O14727
O00264,O14733
O14733,O14733
O00154,O14734
O14734,O14734
O00116,O14734
O00628,O14734
O00560,O14735
O00182,O14735
O00165,O14735
O00522,O14735
O14735,O14735
A8MW92,O14746
O14746,O14746
O14756,O14756
O00444,O14757
O00762,O14757
O00311,O14757
O14746,O14757
O14727,O14757
O14757,O14757
